n,m,Distribution,OPT,Plurality,Plurality Distortion,Copeland,Copeland Distortion,STV,STV Distortion,Borda,Borda Distortion,STAR,STAR Distortion
1000,15,normal,Candidate 1,Candidate 3,1.117629790357063,Candidate 1,1.0,Candidate 1,1.117629790357063,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 0,Candidate 2,1.3030923391875873,Candidate 0,1.0,Candidate 0,1.0,Candidate 1,1.011959918112272,Candidate 0,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 4,1.0573823004865532
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 4,1.0060685237473133
1000,15,normal,Candidate 4,Candidate 1,1.0222353392197545,Candidate 4,1.0,Candidate 4,1.0222353392197545,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 2,1.0047257725184937,Candidate 0,1.0,Candidate 0,1.0047257725184937,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 4,1.3732204930416505,Candidate 3,1.0,Candidate 3,1.0,Candidate 0,1.0196405979389038,Candidate 3,1.0
1000,15,normal,Candidate 2,Candidate 1,1.277996251707379,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 1,1.5484928809900798,Candidate 3,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.1825399634283014,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 4,1.4842485859526011,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 2,Candidate 0,1.1268881438585816,Candidate 2,1.0,Candidate 2,1.0404632733922599,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 3,Candidate 1,1.2963877953892173,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 2,1.0948743115423323,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 4,1.0262955914012042,Candidate 3,1.0,Candidate 3,1.0262955914012042,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 4,Candidate 1,1.0891211611973934,Candidate 4,1.0,Candidate 4,1.0891211611973934,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 0,1.0195073826827588,Candidate 3,1.0674800223618026
1000,15,normal,Candidate 1,Candidate 2,1.1244322552593724,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 3,1.4448852366109366,Candidate 2,1.0,Candidate 2,1.1408459774852497,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 3,Candidate 0,1.1948334254077277,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 4,1.068995748564839
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 4,1.0045109165480441,Candidate 4,1.0045109165480441
1000,15,normal,Candidate 4,Candidate 3,1.3325706113693248,Candidate 4,1.0,Candidate 4,1.1458229054939815,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 0,1.1057202408522446,Candidate 1,1.000025732077605,Candidate 1,1.1057202408522446,Candidate 1,1.000025732077605,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 4,1.1717084755826044,Candidate 1,1.0,Candidate 1,1.1717084755826044,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 4,1.0002562377886681,Candidate 2,1.0,Candidate 2,1.0002562377886681,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 1,1.1888422388014608,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 2,1.032023825810594
1000,15,normal,Candidate 2,Candidate 1,1.0338670100337701,Candidate 2,1.0,Candidate 2,1.0338670100337701,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 3,1.0373299858626224,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 0,1.0819528767812763,Candidate 3,1.0,Candidate 3,1.0819528767812763,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 3,1.0297536086841754,Candidate 3,1.0297536086841754
1000,15,normal,Candidate 2,Candidate 4,1.7527959359242407,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 0,1.0046719288661154
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 1,1.2580700273355845,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 4,1.0021916533514545,Candidate 3,1.0,Candidate 3,1.0021916533514545,Candidate 3,1.0,Candidate 4,1.0021916533514545
1000,15,normal,Candidate 0,Candidate 3,1.0463652076812073,Candidate 0,1.0,Candidate 0,1.0463652076812073,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 0,1.047427854454204,Candidate 3,1.0
1000,15,normal,Candidate 2,Candidate 4,1.1138628263873755,Candidate 2,1.0,Candidate 2,1.0477852934758887,Candidate 3,1.0477852934758887,Candidate 2,1.0
1000,15,normal,Candidate 1,Candidate 3,1.0043932954491193,Candidate 1,1.0,Candidate 1,1.0043932954491193,Candidate 1,1.0,Candidate 3,1.0043932954491193
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 4,1.0817417795986992,Candidate 0,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 1,1.0122541154097586
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 2,1.0775434243176158,Candidate 2,1.0775434243176158
1000,15,normal,Candidate 1,Candidate 2,1.2047427441899135,Candidate 1,1.0,Candidate 1,1.0882019920293229,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,False,False
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 4,1.0526919254974885,Candidate 0,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 1,Candidate 4,1.0730586867885534,Candidate 1,1.0,Candidate 1,1.0730586867885534,Candidate 1,1.0,Candidate 2,1.0030994594395157
1000,15,normal,Candidate 3,Candidate 1,1.0052164642272392,Candidate 3,1.0,Candidate 3,1.0052164642272392,Candidate 3,1.0,Candidate 0,1.0019418954422568
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.106860914869995,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 1,1.0106943692042958,Candidate 3,1.048080048436952
1000,15,normal,Candidate 4,Candidate 1,1.266354556803994,Candidate 4,1.0,Candidate 4,1.0415605493133577,Candidate 3,1.0415605493133577,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 2,1.0519619676330767,Candidate 0,1.0,Candidate 0,1.0519619676330767,Candidate 0,1.0,Candidate 4,1.0510259378771816
1000,15,normal,Candidate 2,Candidate 4,1.081118595863053,Candidate 2,1.0,Candidate 2,1.033483091322157,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 2,Candidate 4,1.0811839931029548,Candidate 2,1.0,Candidate 2,1.0811839931029548,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 2,Candidate 1,1.0289201585944185,Candidate 2,1.0,Candidate 2,1.0289201585944185,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 1,1.6298309812221903,Candidate 3,1.0,Candidate 3,1.0040233750686511,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 1,Candidate 2,1.169490903082487,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 2,1.3001977724575833,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 4,1.0872440747350227,Candidate 0,1.0,Candidate 0,1.0034094861254441,Candidate 1,1.0034094861254441,Candidate 0,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 4,1.0485909500450477,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 0,1.2177536490701726,Candidate 4,1.0,Candidate 4,1.2040860061432959,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 2,1.1760403436215396,Candidate 4,1.0,Candidate 4,1.1894423345242033,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 4,Candidate 0,1.198577870274019,Candidate 4,1.0,Candidate 4,1.1790669441553938,Candidate 2,1.0096749417769189,Candidate 4,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 3,1.0601502831690268
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 4,1.0143746888923963,Candidate 1,1.0
1000,15,normal,Candidate 0,Candidate 2,1.0639153464148001,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 4,1.0240213995949181
1000,15,normal,Candidate 4,Candidate 1,1.2032963855421703,Candidate 4,1.0,Candidate 4,1.1309172690763067,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 3,1.2426636774017634,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 1,1.0100380963899132,Candidate 0,1.0287113744935588
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 1,1.4417352854352348,Candidate 3,1.0,Candidate 3,1.0297463146853572,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 0,Candidate 2,1.038961245825392,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 3,Candidate 0,1.0257271882056052,Candidate 3,1.0,Candidate 3,1.0257271882056052,Candidate 3,1.0,Candidate 0,1.0257271882056052
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 4,1.0035098744864153,Candidate 4,1.0035098744864153
1000,15,normal,Candidate 0,Candidate 2,1.0647652928205085,Candidate 0,1.0,Candidate 0,1.0647652928205085,Candidate 1,1.0005604220221516,Candidate 0,1.0
1000,15,normal,Candidate 1,Candidate 4,1.182279973409929,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 2,1.159206193823973,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 2,Candidate 4,1.090205116948367,Candidate 2,1.0,Candidate 2,1.090205116948367,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 1,Candidate 0,1.1559660497033353,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 2,1.049057803499357,Candidate 0,1.0
1000,15,normal,Candidate 3,Candidate 2,1.1364549509141215,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 0,1.0966612052545335,Candidate 2,1.0
1000,15,normal,Candidate 0,Candidate 2,1.0419978524547469,Candidate 0,1.0,Candidate 0,1.0419978524547469,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 1,Candidate 4,1.027103626156881,Candidate 0,1.0040054619936283,Candidate 0,1.0040054619936283,Candidate 0,1.0040054619936283,Candidate 1,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 4,1.0346465119390016,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 3,1.3049977885891206,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 2,1.1257987322115033,Candidate 0,1.0,Candidate 0,1.1257987322115033,Candidate 0,1.0,Candidate 1,1.005906163285049
1000,15,normal,Candidate 0,Candidate 3,1.1595260399524046,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 0,1.0380658565762122,Candidate 2,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 4,1.122522923179552,Candidate 3,1.0,Candidate 3,1.0136165648585365,Candidate 3,1.0,Candidate 3,1.0
1000,15,normal,Candidate 0,Candidate 1,1.5619191079498234,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 2,Candidate 0,1.1548755112291007,Candidate 2,1.0,Candidate 2,1.0379206428930186,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 2,Candidate 3,1.3186843053352126,Candidate 2,1.0,Candidate 2,1.1471307667511506,Candidate 2,1.0,Candidate 1,1.013867381315061
1000,15,normal,Candidate 0,Candidate 3,1.1638737852666998,Candidate 0,1.0,Candidate 0,1.0435355466067888,Candidate 0,1.0,Candidate 1,1.0250153098149835
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 3,Candidate 1,1.076103634762923,Candidate 3,1.0,Candidate 3,1.076103634762923,Candidate 2,1.0017859388756123,Candidate 3,1.0
1000,15,normal,Candidate 2,Candidate 1,1.0352752724866798,Candidate 2,1.0,Candidate 2,1.017620224953861,Candidate 0,1.017620224953861,Candidate 2,1.0
1000,15,normal,Candidate 2,Candidate 1,1.106635441061671,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 3,Candidate 2,1.5086349283458809,Candidate 3,1.0,Candidate 3,1.001044449842117,Candidate 3,1.0,Candidate 0,1.001044449842117
1000,15,normal,Candidate 2,Candidate 4,1.0343784932837339,Candidate 2,1.0,Candidate 2,1.0343784932837339,Candidate 1,1.0094192673495952,Candidate 1,1.0094192673495952
1000,15,normal,Candidate 2,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 2,1.0,Candidate 1,1.0904987288208865
1000,15,normal,Candidate 0,Candidate 2,1.0320642240194975,Candidate 0,1.0,Candidate 0,1.0320642240194975,Candidate 0,1.0,Candidate 2,1.0320642240194975
1000,15,normal,Candidate 3,Candidate 2,1.138601144771742,Candidate 3,1.0,Candidate 3,1.0187407510819475,Candidate 4,1.0187407510819475,Candidate 4,1.0187407510819475
1000,15,normal,Candidate 3,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 2,1.066849243467799,Candidate 3,1.0
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 2,1.0241901954114236
1000,15,normal,Candidate 2,Candidate 1,1.1314734243080566,Candidate 2,1.0,Candidate 2,1.1314734243080566,Candidate 2,1.0,Candidate 2,1.0
1000,15,normal,Candidate 4,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0,Candidate 4,1.0
1000,15,normal,Candidate 0,Candidate 1,1.0364116795519347,Candidate 0,1.0,Candidate 0,1.0364116795519347,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 0,Candidate 2,1.340958041734573,Candidate 0,1.0,Candidate 0,1.0268174991212082,Candidate 0,1.0,Candidate 0,1.0
1000,15,normal,Candidate 4,Candidate 0,1.1821826253971515,Candidate 4,1.0,Candidate 4,1.0004188381429926,Candidate 4,1.0,Candidate 1,1.0004188381429926
1000,15,normal,Candidate 1,Candidate 2,1.0527684074365284,Candidate 1,1.0,Candidate 1,1.0527684074365284,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 4,Candidate 2,1.2186108986212583,Candidate 4,1.0,Candidate 4,1.0094325416664152,Candidate 3,1.0094325416664152,Candidate 4,1.0
1000,15,normal,Candidate 1,Candidate 3,1.537144791954052,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 4,1.0024453863710476
1000,15,normal,Candidate 1,Candidate 4,1.1645073741875211,Candidate 1,1.0,Candidate 1,1.1645073741875211,Candidate 1,1.0,Candidate 1,1.0
1000,15,normal,Candidate 3,Candidate 0,1.0416390482863973,Candidate 3,1.0,Candidate 3,1.0416390482863973,Candidate 4,1.0728493961832968,Candidate 3,1.0
1000,15,normal,Candidate 3,Candidate 0,1.279793061102903,Candidate 3,1.0,Candidate 3,1.0,Candidate 3,1.0,Candidate 4,1.0225055169520882
1000,15,normal,Candidate 2,Candidate 4,1.0032563358294506,Candidate 2,1.0,Candidate 2,1.0032563358294506,Candidate 2,1.0,Candidate 1,1.0121228382564582
1000,15,normal,Candidate 4,Candidate 0,1.0264289623895535,Candidate 4,1.0,Candidate 4,1.0264289623895535,Candidate 4,1.0,Candidate 0,1.0264289623895535
1000,15,normal,Candidate 1,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 1,1.0,Candidate 3,1.1136977539881157
